id,tanggal,roti_sisa,dropping,roti_id_id,toko_id_id
1768,12/28/2020,0,6,BKCK,78105
1820,12/31/2020,0,8,BKCK,78105
1872,1/4/2021,2,7,BKCK,78105
1924,1/7/2021,0,9,BKCK,78105
1976,1/11/2021,2,5,BKCK,78105
2028,1/14/2021,0,10,BKCK,78105
2080,1/18/2021,1,3,BKCK,78105
2132,1/21/2021,1,11,BKCK,78105
2184,1/25/2021,0,2,BKCK,78105
2236,1/28/2021,0,10,BKCK,78105
2288,2/1/2021,1,3,BKCK,78105
2340,2/4/2021,0,11,BKCK,78105
2392,2/8/2021,0,2,BKCK,78105
2444,2/11/2021,0,12,BKCK,78105
2496,2/15/2021,0,3,BKCK,78105
2548,2/18/2021,1,13,BKCK,78105
2600,2/22/2021,0,4,BKCK,78105
2652,2/25/2021,0,12,BKCK,78105
2704,3/1/2021,2,5,BKCK,78105
2756,3/4/2021,0,13,BKCK,78105
2808,3/8/2021,1,3,BKCK,78105
2860,3/11/2021,0,14,BKCK,78105
2912,3/15/2021,2,2,BKCK,78105
2964,3/18/2021,0,15,BKCK,78105
3016,3/22/2021,0,0,BKCK,78105
3068,3/25/2021,1,16,BKCK,78105
3120,3/29/2021,0,1,BKCK,78105
3172,4/1/2021,2,15,BKCK,78105
3224,4/5/2021,0,2,BKCK,78105
3276,4/8/2021,1,13,BKCK,78105
3328,4/12/2021,0,3,BKCK,78105
3380,4/15/2021,0,12,BKCK,78105
3432,4/19/2021,0,4,BKCK,78105
3484,4/22/2021,1,13,BKCK,78105
3536,4/26/2021,0,5,BKCK,78105
3588,4/29/2021,0,12,BKCK,78105
3640,5/3/2021,0,6,BKCK,78105
3692,5/6/2021,2,13,BKCK,78105
3744,5/10/2021,0,7,BKCK,78105
3796,5/13/2021,0,11,BKCK,78105
3848,5/17/2021,2,8,BKCK,78105
3900,5/20/2021,0,12,BKCK,78105
3952,5/24/2021,0,6,BKCK,78105
4004,5/27/2021,0,13,BKCK,78105
4056,5/31/2021,2,7,BKCK,78105
4108,6/3/2021,0,14,BKCK,78105
4160,6/7/2021,0,5,BKCK,78105
4212,6/10/2021,0,15,BKCK,78105
4264,6/14/2021,1,6,BKCK,78105
4316,6/17/2021,0,16,BKCK,78105
4368,6/21/2021,2,5,BKCK,78105
4420,6/24/2021,0,17,BKCK,78105
4472,6/28/2021,1,3,BKCK,78105
